0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;Средняя оценка;20_похожих
Муха;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.6;;;;;;;;;;;;;;7.6;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник;Лекарство против страха"
Муха;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.342;8877;The Fly;7.6;8.4;;;;;;;;;;7.8;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник;Лекарство против страха"
Кукла;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);6.114;883748;The Boy;6;4.6;;;;;;;;;;5.6;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Заклятие;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);7.336;468994;The Conjuring;7.5;7.2;;;;;;;;;;7.3;"Песочник;Телесеть;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Тайна темной комнаты;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом;Узник старой усадьбы"
Дракула;Ужасы;Фэнтези;Сверхъестественные;Классика (до 2000 года);6.62;395057;Dracula Untold;6.2;4.5;;;;;;;;;;5.8;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
WTF! Какого черта?;Ужасы;Комедия;Кровавые слэшеры;Новинки (2020–2025);5.627;823580;N'importe qui;5;0;;;;;;;;;;5.3;"Убойные каникулы;Кокаин;В чужой шкуре;Топор;Операция «Мертвый снег» 2;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Злая шутка;Паршивая овца;Няня: Королева проклятых;2001 маньяк;Бобры-зомби;Кутис;С днем смерти;Ужасвин;Пираньи 3DD;Зловещие мертвецы 2;Гремлины;Бал вампиров"
Факультет;Ужасы;Фантастика;Сверхъестественные;Классика (до 2000 года);7.297;3547;The Faculty;6.6;5.6;;;;;;;;;;6.5;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Играй до смерти;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);5.905;582753;Truth or Dare;5.6;0;;;;;;;;;;5.8;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Ночные сестры;Ужасы;Триллер;Сверхъестественные;Новинки (2020–2025);6.211;271685;;6.2;0;;;;;;;;;;6.2;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Шопинг-тур;Ужасы;Фантастика;Сверхъестественные;Современное кино (2000–2020);3.665;694526;;4.4;0;;;;;;;;;;4.0;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Именины;Ужасы;Детектив;Сверхъестественные;Новинки (2020–2025);7.489;81422;;6.5;0;;;;;;;;;;7.0;"Песочник;Телесеть;Заклятие;Сонная Лощина;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Тайна темной комнаты;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом;Узник старой усадьбы"
Звонок 2;Ужасы;Триллер;Сверхъестественные;Современное кино (2000–2020);6.294;61305;The Ring Two;5.4;4.5;;;;;;;;;;5.4;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Убойные каникулы;Ужасы;Комедия;Кровавые слэшеры;Новинки (2020–2025);7.694;485261;Tucker and Dale vs Evil;7.5;6.9;;;;;;;;;;7.4;"Кокаин;В чужой шкуре;Топор;Операция «Мертвый снег» 2;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Злая шутка;Паршивая овца;Няня: Королева проклятых;2001 маньяк;WTF! Какого черта?;Бобры-зомби;Кутис;С днем смерти;Ужасвин;Пираньи 3DD;Зловещие мертвецы 2;Гремлины;Бал вампиров"
Охотник на вампиров Ди: Жажда крови;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);7.781;8236;Vampire Hunter D;7.7;6.4;;;;;;;;;;7.3;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов;Интервью с вампиром"
Комната смерти;Ужасы;Триллер;Психологические;Современное кино (2000–2020);5.468;397689;The Killing Room;5.6;0;;;;;;;;;;5.5;"Сияние;Ребенок Розмари;Челюсти;Отвращение;Медсестра;Птицы;Прочь;Другие;Слушатель;Ночной гость;Замороженный;Пила: Игра на выживание;Карнавал душ;Солнцестояние;Отчим;1408;Не дыши;Человек у окна;Игра Джеральда;Игры мотыльков"
Сладкая полночь;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);6.858;198077;The Cake Eaters;6.2;6;;;;;;;;;;6.4;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва;Хостел"
Несущая смерть;Ужасы;Фантастика;Сверхъестественные;Классика (до 2000 года);5.306;77863;Tamara;5.1;4.6;;;;;;;;;;5.0;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Сотовый;Ужасы;Фантастика;Сверхъестественные;Современное кино (2000–2020);7.143;63778;Cellular;6.5;5.8;;;;;;;;;;6.5;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Живое;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);6.566;966995;Life;6.6;6;;;;;;;;;;6.4;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Убежище дьявола;Ужасы;Триллер;Сверхъестественные;Новинки (2020–2025);5.74;1049478;El habitante;5.3;0;;;;;;;;;;5.5;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Пять минут страха;Ужасы;Триллер;Сверхъестественные;Современное кино (2000–2020);6.599;43370;;6;0;;;;;;;;;;6.3;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Врата тьмы;Ужасы;Фантастика;Сверхъестественные;Классика (до 2000 года);5.292;840573;Pay the Ghost;5.2;3.7;;;;;;;;;;4.7;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Яга. Кошмар темного леса;Ужасы;Фэнтези;Сверхъестественные;Новинки (2020–2025);5.673;1124682;;4.7;0;;;;;;;;;;5.2;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Дьявол;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);6.718;464168;Devil;6.3;5.2;;;;;;;;;;6.1;"Песочник;Телесеть;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Тайна темной комнаты;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом;Узник старой усадьбы"
